"Match#","Time","Autonomous","Teleop","Status","Team #","Team Position","Joystick Sent","Joystick Lost","Joystick Disc","NXT Disconnects","NXT Volt Start","NXT Volt End","Robot Volt Start","Robot Volt End","Teleop Name","Initial Program","Notes","Freq NXT Volt Critical","Freq NXT Volt Error","Freq NXT Volt Warn","Freq NXT Volt Safe","NXT Volt Min","NXT Volt Max"
"1","04-Oct-2014 03:57:03 PM","No Autonomous","02:00","Halted","8492","Red Team 1",519,0,0,0,"7.444V","7.437V","10.831V","10.806V","","samostat.rxe","P1.124 F10.10 SV2.02/Sep  9 2011 ","0","0","586","0","10.786V","10.918V"
"1","05-Oct-2014 08:15:51 AM","No Autonomous","02:00","Halted","8492","Red Team 1",858,0,0,0,"8.036V","8.038V","12.121V","12.115V","","Teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","813","12.065V","12.172V"
"1","05-Oct-2014 09:29:26 AM","00:30","No Teleop","Played","8492","Red Team 1",643,0,0,0,"7.807V","7.809V","12.127V","12.106V","","Autonomous001.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","621","12.059V","12.166V"
"1","05-Oct-2014 09:41:33 AM","00:30","No Teleop","Halted","8492","Red Team 1",165,0,0,0,"7.790V","7.794V","12.098V","12.106V","","Autonomous001.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","245","11.040V","12.164V"
"1","05-Oct-2014 09:41:47 AM","00:30","No Teleop","Halted","8492","Red Team 1",117,0,0,0,"7.796V","7.790V","12.124V","12.107V","","","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","177","11.040V","12.164V"
"1","05-Oct-2014 09:42:03 AM","00:30","No Teleop","Halted","8492","Red Team 1",136,0,0,0,"7.798V","7.794V","12.120V","12.111V","","Autonomous001.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","215","9.644V","12.164V"
"1","05-Oct-2014 09:54:56 AM","No Autonomous","02:00","Halted","8492","Red Team 1",585,0,0,0,"7.791V","7.786V","12.111V","12.102V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","636","12.061V","12.168V"
"1","05-Oct-2014 09:56:32 AM","00:30","02:00","Halted","8492","Red Team 1",854,66,0,0,"7.783V","7.786V","12.116V","12.114V","teleop.rxe","Autonomous001.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","944","12.061V","12.181V"
"1","05-Oct-2014 10:10:58 AM","00:30","02:00","Halted","8492","Red Team 1",1957,0,0,0,"7.765V","7.764V","13.607V","13.565V","teleop.rxe","Autonomous001.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","1923","13.548V","13.649V"
"1","05-Oct-2014 10:12:52 AM","00:30","02:00","Halted","8492","Red Team 1",1457,0,0,0,"7.766V","7.761V","13.583V","13.544V","teleop.rxe","Autonomous001.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","1432","12.855V","13.649V"
"1","05-Oct-2014 10:16:45 AM","No Autonomous","02:00","Halted","8492","Red Team 1",148,0,0,0,"7.761V","7.757V","13.531V","13.462V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","191","12.288V","13.577V"
"1","05-Oct-2014 10:27:53 AM","No Autonomous","02:00","Halted","8492","Red Team 1",907,0,0,0,"7.743V","7.745V","13.487V","13.469V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 Disabled","0","0","0","899","13.437V","13.534V"
"1","05-Oct-2014 10:37:21 AM","No Autonomous","02:00","Halted","8492","Red Team 1",331,0,0,0,"7.733V","7.734V","13.424V","13.400V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","318","12.595V","13.466V"
"1","05-Oct-2014 10:43:01 AM","No Autonomous","02:00","Halted","8492","Red Team 1",1050,0,0,0,"7.728V","7.728V","13.418V","13.380V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","1039","11.758V","13.466V"
"1","05-Oct-2014 10:47:33 AM","No Autonomous","02:00","Halted","8492","Red Team 1",471,0,0,0,"7.716V","7.721V","13.381V","13.338V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","461","12.445V","13.433V"
"1","05-Oct-2014 10:50:55 AM","No Autonomous","02:00","Halted","8492","Red Team 1",1026,0,0,0,"7.713V","7.711V","13.354V","13.266V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","1029","11.908V","13.402V"
"1","05-Oct-2014 10:54:21 AM","No Autonomous","02:00","Halted","8492","Red Team 1",107,0,0,0,"7.710V","7.709V","13.291V","13.281V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","107","13.270V","13.338V"
"1","05-Oct-2014 10:54:54 AM","No Autonomous","02:00","Halted","8492","Red Team 1",190,0,0,0,"7.701V","7.704V","13.302V","13.273V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","259","12.325V","13.338V"
"1","08-Oct-2014 04:10:47 PM","00:30","02:00","Halted","8492","Red Team 1",1903,0,0,0,"7.516V","7.536V","12.846V","12.801V","teleop.rxe","Autonomous001.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","1884","11.545V","12.886V"
